,target
0,114.58180407786251
1,118.00744773651239
2,-21.738916803881303
3,-43.93564704242479
4,-95.91669146065095
5,-44.511846991431106
6,-75.56646081391034
7,23.82175761598238
8,173.8276375968668
9,172.84391648870485
10,-105.4010779768091
11,-20.8016235963287
12,-3.913952016453403
13,122.9916042026661
14,40.303301812224056
15,45.709955055736025
16,-189.62807051346675
17,22.610596132291956
18,11.640509616482655
19,136.3338813916453
20,64.91409173127505
21,-61.98910148426929
22,-108.19435301030103
23,-7.417632718540393
24,-58.52125674024945
25,11.890855189857767
26,29.23406766952297
27,107.68693942199967
28,24.140699077291533
29,-26.104348116282072
30,110.96184535354904
31,-44.881158590910246
32,216.7941848150613
33,-13.86531394656992
34,-228.6003531000097
35,154.88863900900643
36,-2.2308276998112966
37,12.723985498130848
38,-308.3001988745569
39,77.1058685570588
40,-81.20948994751826
41,-206.62946485814123
42,-238.75748256256054
43,134.74916545724693
44,-73.75269040124145
45,105.45396517349273
46,-3.594181932901186
47,20.60345709156769
48,-98.01829427574074
49,-27.51985709511394
50,10.817150062504416
51,-174.46339861871772
52,65.15226210299306
53,-97.80659342244876
54,-106.15220019359225
55,-155.9376217347341
56,62.532765226228655
57,108.62757456683845
58,-74.60773204562578
59,41.74096600086262
60,41.22034139389493
61,-50.80783933778316
62,164.88232878473585
63,43.55941165753129
64,56.9342811894584
65,24.11551105866213
66,81.67258029842698
67,-1.8063697401911705
68,-3.098097551087945
69,1.8080101193980138
70,-23.942604788782468
71,161.86574763431418
72,-41.01127662602545
73,21.556053332493548
74,-66.43084697562611
75,-69.2746300413688
76,36.9978813244679
77,-160.48886883947617
78,-1.7600595240223564
79,151.30381159240025
80,-38.02340150282472
81,-120.317799781769
82,-194.42848105752344
83,36.44706800540171
84,146.42040782946654
85,271.42224902095904
86,-256.9920837490037
87,-88.54922822124871
88,76.26076543923242
89,-89.94018889699504
90,-49.412260795543695
91,125.57832563513138
92,-163.88634700403654
93,-116.8220768651573
94,48.71112143716318
95,98.16114595370686
96,-215.57789734612066
97,-121.28577711876822
98,-172.34264648026775
99,-51.258510498924274
100,127.98556451939268
101,-83.89346144005812
102,-3.929956943519429
103,-1.4561850739778879
104,0.0663365636884071
105,80.7196121005121
106,44.50598394168088
107,92.4510742955431
108,-30.29465400024602
109,-84.14205685905635
110,38.603779496025794
111,18.282890946176774
112,117.39565189938003
113,7.707510400437152
114,73.56366104500881
115,32.72358212698983
116,-142.4057598053477
117,7.2079865375757
118,21.012336258205824
119,-22.78901773442312
120,-21.19875349416039
121,-255.76830573525737
122,267.42694795562545
123,155.0364471088364
124,14.339717004318263
125,83.511753406576
126,-12.144750107542395
127,-153.0932609145846
128,112.39162151735516
129,-32.04767847623673
130,-216.02028198488733
131,121.05080544466935
132,-29.89235851241871
133,-86.83393413203775
134,170.71830078655466
135,39.18929337431721
136,-19.33031953384037
137,61.75682900047474
138,46.07315704182598
139,-175.02685715757437
140,130.1517356883474
141,-72.80656901504905
142,212.0832267982844
143,135.34177425426958
144,0.22638203637615528
145,-153.83951871571523
146,-14.875318096910757
147,133.6587710988958
148,35.96183925853784
149,57.699904412225905
150,-4.368464249159172
151,-43.11101779921671
152,17.720933974451693
153,-69.69995692658256
154,28.541507827392774
155,141.98807969148342
156,346.8146370192309
157,216.9175534322353
158,27.814611989089215
159,-37.7412568693022
160,-171.39584328448768
161,12.89247188589071
162,298.5944079358312
163,75.63407116653806
164,-22.1122689227957
165,155.67471513638955
166,-155.69331169411197
167,141.39946350724318
168,171.0730229569037
169,-46.95057058535591
170,65.57526896578463
171,97.24780303908976
172,94.91895240669658
173,31.868296239269643
174,174.32729582944404
175,-151.1503742554416
176,-94.3321379562278
177,-169.77247002038132
178,-18.296796320492046
179,-107.27258063694441
180,-14.128499382785968
181,-58.808855952692646
182,-75.0819383122216
183,67.35172918583754
184,-68.96777846393492
185,88.82912932595825
186,-57.091637492208484
187,-109.73559726367495
188,-77.78157040939838
189,185.62135041538747
190,-41.43110822964164
191,219.62645783051963
192,-56.62046781267225
193,-83.62380674167626
194,47.323197598916444
195,0.623399941265778
196,71.38135372291222
197,-60.6658773515756
198,209.64942235996187
199,-138.63394664892056
200,-96.84923492899033
201,-115.58107572418983
202,24.962147020916067
203,54.29115021512754
204,150.4950772373143
205,46.89534947958236
206,91.98500052770534
207,173.00448536440518
208,-270.544638440988
209,-173.85349877562516
210,-105.30455573382675
211,-82.5121602436018
212,29.077998471789552
213,-50.33437708311287
214,78.09373376661263
215,-20.196486784931793
216,-52.21825927042478
217,-28.629990719383933
218,65.6524796837901
219,91.72432892933185
220,-82.66848330610958
221,-148.45581764611066
222,48.672860574835575
223,238.55946608498664
224,-48.69888843091324
225,15.76584027657225
226,-61.987817811206305
227,13.14467885865199
228,10.02541339281284
229,39.96365397394382
230,115.95488073923784
231,18.666420353211773
232,-107.32603127871609
233,46.76880479851408
234,100.0346503795499
235,-88.7568395914435
236,-174.6892580643805
237,169.46977771815247
238,109.34383415141754
239,62.082643659259396
240,-8.545282011314658
241,-24.856726465466583
242,-47.71495538010077
243,-171.00999604683219
244,-64.99904567591516
245,-27.749011310875147
246,-171.39822639371386
247,-28.206910808081304
248,34.31610067360898
249,-121.60723765050699
250,17.42657158776018
251,-0.7751190840322193
252,-254.1799719191991
253,-253.5234825444636
254,-165.87677439107944
255,46.7088637806687
256,131.60461189077066
257,70.77923171446349
258,119.8714029303709
259,93.84019981921729
260,22.126600547854803
261,-306.13841207810793
262,187.13033603385585
263,-130.0848698219853
264,-43.90213366790371
265,-84.82742818441257
266,-87.51478534821631
267,137.0565997428554
268,162.65941976654628
269,-40.429940761452485
270,-142.31212029675729
271,113.2908427165379
272,-19.81506368509118
273,88.16366749463953
274,105.98804568251347
275,25.298802774073955
276,-50.884156895335146
277,-26.95778042042513
278,30.104816637688046
279,73.8900544778235
280,28.356622806414357
281,-128.4129577940506
282,-15.277498021333562
283,-11.036981401348251
284,-126.79502238069426
285,162.11383539399458
286,-10.083306892656669
287,-133.3304654853793
288,206.44408531362922
289,48.833154176359265
290,93.19845879142379
291,31.388114669692847
292,207.02818377425473
293,-38.998687182299214
294,-30.732739182499657
295,-40.17737020223734
296,52.35840883786423
297,-62.40657373750851
298,93.6363089552153
299,-84.28823979081098
300,-95.53356494506616
301,-24.38066220593416
302,-89.80808372754942
303,-23.17698301191264
304,59.661686319331594
305,-32.43567043222002
306,-74.09421946627731
307,-179.72442890432072
308,-163.68326078802846
309,41.186885229852614
310,80.26909558973593
311,301.5664462209124
312,128.54796513402746
313,130.82633181967316
314,52.50961662872838
315,-21.289656893222705
316,183.2605395508001
317,-58.87205613709984
318,129.46569309523656
319,152.6526171997055
320,-33.32187691461487
321,-202.13628180779494
322,-98.857848495835
323,4.345384745609231
324,-44.80219128070104
325,-37.82187880667462
326,157.82011276855445
327,134.00929589954458
328,25.02108946307846
329,-88.4391229783973
330,187.23760784740014
331,-65.45324421635101
332,65.53476034727507
333,80.34781089451987
334,98.80099272723903
335,-105.25112129454635
336,114.40012550278105
